symboling,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,log_price
0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,five_six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105,9.9572652582166
1,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,five_six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565,10.109077944602749
0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,five_six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760,10.333970423619581
0,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,five_six,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315,10.628980909135285
0,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,five_six,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880,10.51542467767053
2,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three_four,61,2bbl,2.91,3.03,9.5,48,5100,47,53,5151,8.546946149565585
1,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,three_four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295,8.747510946478448
0,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909,ohc,three_four,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575,8.791029857045965
1,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,three_four,90,2bbl,2.97,3.23,9.41,68,5500,37,41,5572,8.625509334899697
1,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6377,8.760453046315272
1,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,three_four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,7957,8.981807323377534
1,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,8.736971085254146
1,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,8.808668062106715
1,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,8.937087036176523
1,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,three_four,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558,9.054621796976763
-1,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,three_four,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921,9.096163326913784
3,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,three_four,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964,9.469931564261438
2,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,three_four,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479,8.776321456449958
2,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,three_four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,8.832733591996416
1,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837,ohc,three_four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,8.593969030218288
1,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940,ohc,three_four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,8.784009071186633
1,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956,ohc,three_four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,8.871926251117628
0,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010,ohc,three_four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,8.894944460956886
0,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024,ohc,three_four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,8.894944460956886
0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236,ohc,three_four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895,8.973984926689743
0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289,ohc,three_four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,9095,9.115480090952223
0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,three_four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845,9.087607606593886
0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,three_four,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295,9.23941361946189
0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,three_four,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945,9.468464892185638
1,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,three_four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,9.244258590179644
0,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,three_four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,8.82246957226897
2,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,three_four,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,9.310004695089129
0,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,five_six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,10.381273322223919
0,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,five_six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,10.478695435231387
0,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,eight_twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,10.491274217438248
1,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,three_four,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195,8.555451903533328
1,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,three_four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095,8.715224041915372
1,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,three_four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795,8.823942326585245
1,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,three_four,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695,8.809116258125274
1,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,three_four,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395,8.9085593751449
1,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,three_four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,9.087607606593886
0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,three_four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,9.047233034106032
1,mazda,gas,std,two,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,three_four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,9.2681374707024
0,mazda,gas,std,four,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,three_four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,9.234545060673
0,mazda,diesel,std,?,sedan,fwd,front,98.8,177.8,66.5,55.5,2443,ohc,three_four,122,idi,3.39,3.39,22.7,64,4650,36,42,10795,9.286838342948908
0,mazda,gas,std,four,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,three_four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,9.327678864393416
0,mazda,gas,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,three_four,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280,9.813562845008141
0,mazda,diesel,std,four,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,three_four,134,idi,3.43,3.64,22.0,72,4200,31,39,18344,9.81705782453774
-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,five_six,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,10.148470870454794
-1,mercedes-benz,diesel,turbo,four,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,five_six,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,10.248777937608223
0,mercedes-benz,diesel,turbo,two,hardtop_convert,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five_six,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,10.246225830735987
-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five_six,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,10.360912399575003
-1,mercedes-benz,gas,std,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight_twelve,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,10.439512977323862
3,mercedes-benz,gas,std,two,hardtop_convert,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight_twelve,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,10.464702061835247
0,mercedes-benz,gas,std,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight_twelve,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960,10.62035125971339
1,mercedes-benz,gas,std,two,hardtop_convert,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,eight_twelve,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400,10.72326738402944
1,mercury,gas,turbo,two,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,three_four,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503,9.711297461543568
2,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,three_four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,8.592115117933497
2,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,three_four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,8.73052880173936
2,mitsubishi,gas,std,two,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,three_four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,8.805225202632306
1,mitsubishi,gas,turbo,two,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,three_four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,8.94754601503218
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,three_four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,9.20623194393164
3,mitsubishi,gas,std,two,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,three_four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,9.047703788498627
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,three_four,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629,9.44375103564617
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,three_four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869,9.607033787697222
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,three_four,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489,9.581145019820722
1,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,three_four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,8.85209276347713
1,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,three_four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,9.010547069270189
1,mitsubishi,gas,turbo,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,three_four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,9.13550906135318
-1,mitsubishi,gas,std,four,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,three_four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,9.13550906135318
1,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,8.612321536507814
1,nissan,diesel,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,three_four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,8.867709208039386
1,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,8.802221746402456
1,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,8.831857935197906
1,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,8.90231952852887
1,nissan,gas,std,two,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,8.895492631451633
1,nissan,gas,std,two,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,8.961750799330497
1,nissan,gas,std,four,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,8.92252495730139
1,nissan,gas,std,four,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,8.987071812848821
2,nissan,gas,std,two,hardtop_convert,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,three_four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,9.017847259860732
0,nissan,gas,std,four,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,three_four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,9.099297073182859
0,nissan,gas,std,four,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,three_four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,9.164191715950203
0,nissan,gas,std,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,five_six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499,9.510370887608827
0,nissan,gas,std,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,five_six,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399,9.57491403870827
0,nissan,gas,std,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,five_six,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499,9.510370887608827
3,nissan,gas,std,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,five_six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199,9.752606521576492
3,nissan,gas,turbo,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,five_six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,9.888323152016355
1,nissan,gas,std,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,five_six,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399,9.820051594294094
0,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,three_four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,9.38429367909962
0,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,three_four,152,idi,3.7,3.52,21.0,95,4150,28,33,13200,9.487972108574462
0,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,three_four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,9.42867236629317
0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,three_four,152,idi,3.7,3.52,21.0,95,4150,25,25,13860,9.536762272743895
0,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,three_four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,9.65374331942474
0,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,three_four,152,idi,3.7,3.52,21.0,95,4150,28,33,16900,9.735068900911164
0,peugot,gas,std,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,three_four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,9.722864552377755
0,peugot,diesel,turbo,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,three_four,152,idi,3.7,3.52,21.0,95,4150,25,25,17075,9.74537068443899
0,peugot,gas,std,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,three_four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,9.718963572186974
0,peugot,diesel,turbo,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,three_four,152,idi,3.7,3.52,21.0,95,4150,28,33,17950,9.795345393916424
0,peugot,gas,turbo,four,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,three_four,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150,9.806425839692997
1,plymouth,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,8.625509334899697
1,plymouth,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,three_four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,8.981807323377534
1,plymouth,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,8.736971085254146
1,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,three_four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,8.808668062106715
1,plymouth,gas,std,four,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,three_four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,8.937087036176523
-1,plymouth,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,three_four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,9.096163326913784
3,plymouth,gas,turbo,two,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,three_four,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764,9.454383987398135
3,porsche,gas,std,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,three_four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,9.999615579630348
3,porsche,gas,std,two,hardtop_convert,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,five_six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528,10.389856535868129
3,porsche,gas,std,two,hardtop_convert,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,five_six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028,10.434938994095775
3,porsche,gas,std,two,hardtop_convert,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,five_six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028,10.519429662187102
3,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,three_four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,9.380083146563278
2,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,three_four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,9.406729185981574
3,saab,gas,std,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,three_four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,9.618468597503831
2,saab,gas,std,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,three_four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,9.649240256170584
3,saab,gas,turbo,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,three_four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150,9.806425839692997
2,saab,gas,turbo,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,three_four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620,9.831991550831058
2,subaru,gas,std,two,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,three_four,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118,8.540519016719735
2,subaru,gas,std,two,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,three_four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,8.86120833720818
2,subaru,gas,std,two,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,three_four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,8.936298185228436
0,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,three_four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,8.871505346165781
0,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,three_four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,8.958668737047434
0,subaru,gas,std,four,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,three_four,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960,9.206332350578643
0,subaru,gas,std,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,three_four,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233,9.130539301772627
0,subaru,gas,turbo,four,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,three_four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,9.32892308780313
0,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,three_four,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463,8.917712757131387
0,subaru,gas,std,four,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,three_four,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198,9.2299469016151
0,subaru,gas,std,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,three_four,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013,8.98882050177807
0,subaru,gas,turbo,four,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,three_four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,9.366831168735615
1,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,three_four,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348,8.584477938221834
1,toyota,gas,std,two,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,three_four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338,8.754318540250866
1,toyota,gas,std,four,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,three_four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488,8.77770959579525
0,toyota,gas,std,four,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,three_four,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918,8.841881989497114
0,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,three_four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898,8.974364841846596
0,toyota,gas,std,four,wagon,4wd,front,95.7,169.7,63.6,59.1,3110,ohc,three_four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778,9.080003870248179
0,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2081,ohc,three_four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938,8.844768827529695
0,toyota,gas,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2109,ohc,three_four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198,8.881558488638976
0,toyota,diesel,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2275,ohc,three_four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898,8.974364841846596
0,toyota,diesel,std,four,hatchback,fwd,front,95.7,166.3,64.4,52.8,2275,ohc,three_four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788,8.960339366492091
0,toyota,gas,std,four,sedan,fwd,front,95.7,166.3,64.4,53.0,2094,ohc,three_four,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738,8.953898535260459
